source_AGI,target_AGI,type,n_mentions,pubmedID,source_symbol,target_symbol
AT5G24470,AT2G46830,GRN_represses,42,33138078,APRR5,CCA1
AT2G33810,AT1G69120,GRN_activates,32,32143577,SPL3,AP1
AT2G33810,AT5G60910,GRN_activates,31,32143577,SPL3,AGL8
AT2G38470,AT3G26830,GRN_activates,26,32038695,WRKY33,CYP71B15
AT1G75540,AT2G36270,GRN_represses,26,24586210,BBX21,ABI5
AT3G09600,AT5G24470,GRN_activates,23,24592314,RVE8,APRR5
AT2G36270,AT2G40170,GRN_activates,22,27624486,ABI5,EM6
AT2G36270,AT3G51810,GRN_activates,21,27624486,ABI5,EM1
AT1G80840,AT2G36270,GRN_represses,20,26829043,WRKY40,ABI5
AT2G46830,AT5G24470,GRN_represses,19,37017001,CCA1,APRR5
AT3G24650,AT2G36270,GRN_activates,17,20487379,ABI3,ABI5
AT1G13980,AT1G73590,GRN_activates,17,35013279,GN,PIN1
AT1G21970,AT3G24650,GRN_activates,17,34039265,NFYB9,ABI3
AT4G24540,AT2G45660,GRN_activates,16,37111878,AGL24,SOC1
AT5G55390,AT1G58602,GRN_activates,15,32925902,EDM2,
AT5G60850,AT4G03210,GRN_represses,14,31626627,DOF5.4,XTH9
AT1G80840,AT2G25000,GRN_activates,14,34398879,WRKY40,WRKY60
AT2G46830,AT5G39610,GRN_represses,14,33329652,CCA1,NAC92
AT2G22770,AT3G15950,GRN_activates,13,37346116,NAI1,NAI2
AT2G25000,AT2G36270,GRN_represses,13,32751641,WRKY60,ABI5
AT3G59060,AT5G39610,GRN_activates,13,32508856,PIF5,NAC92
AT1G32770,AT5G12870,GRN_activates,12,29973639,NAC012,MYB46
AT1G75380,AT1G19640,GRN_represses,12,32384799,BBD1,JMT
AT5G39610,AT4G22920,GRN_activates,12,34777451,NAC92,SGR1
AT5G24470,AT3G09600,GRN_represses,11,33138078,APRR5,RVE8
AT1G13260,AT2G36270,GRN_represses,11,30518173,RAV1,ABI5
AT1G13260,AT3G24650,GRN_represses,11,26829043,RAV1,ABI3
AT5G12870,AT5G17420,GRN_activates,11,35154217,MYB46,CESA7
AT3G62230,AT1G75240,GRN_represses,10,27685353,,ZHD5
