gene_id,adult_vascular_leaf,rosette_leaf,rosette_leaf.2,rosette_leaf.3,rosette_leaf.4,rosette_leaf.5,rosette_leaf.6,rosette_leaf.7,rosette_leaf.8,rosette_leaf.9,rosette_leaf.10,cauline_leaf,rosette_leaf.11,rosette_leaf.12,stem_internode,stem_node,plant_callus,plant_callus.2,root,root.2,seed,seed.2,seed.3,seed.4,cotyledon,seed.5,seed.6,flower,flower.2,flower.3,flower.4,carpel,flower_pedicel,flower.5,sepal,fruit_septum,pollen,petal,stamen,flower.6,seed.7,cotyledon.2,hypocotyl,"mixed_shoot_apical_meristem,_cotyledon_and_first_leaves",root_tip,root_tip.2,fruit_valve,silique,silique.2,silique.3,silique.4,silique.5,petiole,root.3,rosette_leaf.13,rosette_leaf.14
AT1G01120,5.0,23.0,58.0,4.0,22.0,20.0,39.0,32.0,25.0,284.0,229.0,30.0,96.0,56.0,51.0,48.0,4.0,36.0,4.0,58.0,0.2,107.0,43.0,23.0,3.0,57.0,36.0,74.0,64.0,50.0,101.0,142.0,247.0,133.0,106.0,167.0,0.0,195.0,78.0,106.0,0.2,79.0,169.0,117.0,79.0,60.0,92.0,130.0,148.0,154.0,255.0,223.0,119.0,68.0,8.0,22.0
AT1G01140,69.0,16.0,13.0,0.0,1.0,22.0,62.0,25.0,0.0,0.2,19.0,29.0,0.1,15.0,8.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,5.0,37.0,36.0,0.1,26.0,10.0,0.1,14.0,0.0,17.0,0.0,31.0,2.0,52.0,0.0,0.1,17.0,0.0,0.0,0.0,40.0,0.0,12.0,14.0,9.0,0.3,0.0,0.0,38.0,34.0
AT1G01240,133.0,10.0,9.0,35.0,23.0,0.0,31.0,29.0,18.0,23.0,14.0,31.0,11.0,24.0,14.0,26.0,20.0,13.0,8.0,0.0,74.0,8.0,0.0,0.0,34.0,0.0,0.0,14.0,9.0,19.0,12.0,0.0,0.0,23.0,39.0,36.0,0.0,0.0,16.0,31.0,29.0,14.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,25.0
AT1G01250,3.0,2.0,1.0,0.5,1.0,2.0,1.0,0.9,0.8,4.0,4.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,77.0,0.8,5.0,0.6,31.0,62.0,10.0,8.0,15.0,20.0,65.0,89.0,32.0,17.0,9.0,0.0,24.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,9.0,52.0,68.0,111.0,64.0,30.0,3.0,0.0,2.0,1.0
AT1G01310,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,1.0,0.4,0.0,0.2,0.0,0.6,12.0,94.0,489.0,54.0,15.0,316.0,275.0,10.0,1693.0,409.0,1661.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,27.0,24.0,13.0,4.0,6.0,0.0,4.0,0.0,0.0
AT1G01460,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,2.0,3.0,24.0,157.0,14.0,3.0,85.0,65.0,1.0,586.0,95.0,411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,3.0,0.4,0.8,0.0,0.0,0.0,0.0
AT1G01470,761.0,49.0,63.0,202.0,211.0,193.0,199.0,86.0,98.0,702.0,476.0,120.0,53.0,196.0,112.0,113.0,63.0,45.0,2.0,0.0,908.0,100.0,26.0,70.0,374.0,75.0,69.0,59.0,59.0,110.0,95.0,42.0,149.0,102.0,406.0,228.0,0.0,98.0,68.0,65.0,864.0,63.0,121.0,75.0,76.0,77.0,207.0,5.0,3.0,12.0,45.0,37.0,253.0,51.0,98.0,31.0
AT1G01590,0.0,0.0,0.0,1.0,0.4,0.8,0.0,0.3,0.0,0.0,0.7,1.0,0.0,0.0,24.0,17.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.1,0.4,0.0,0.0,2.0,6.0,6.0,3.0,0.9,46.0,1.0,0.4,5.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,4.0,6.0,3.0,0.0,1.0,0.0
AT1G01600,0.0,1.0,4.0,0.0,0.0,0.4,0.5,0.0,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.9,9.0,0.0,5.0,2.0,9.0,13.0,4.0,0.2,7.0,5.0,27.0,35.0,85.0,12.0,5.0,39.0,3.0,0.2,0.3,0.0,3.0,0.5,20.0,0.7,0.4,6.0,6.0,4.0,20.0,0.0,17.0,23.0,37.0,40.0,12.0,0.9,8.0,0.3,0.8
AT1G01610,4.0,27.0,27.0,10.0,20.0,26.0,16.0,23.0,26.0,58.0,57.0,18.0,44.0,31.0,5.0,4.0,92.0,30.0,3.0,77.0,0.0,22.0,43.0,14.0,3.0,2.0,2.0,91.0,63.0,93.0,29.0,60.0,44.0,41.0,13.0,32.0,0.0,3.0,2.0,78.0,0.0,25.0,78.0,46.0,99.0,52.0,2.0,98.0,96.0,103.0,105.0,80.0,24.0,59.0,24.0,20.0
AT1G01620,2.0,61.0,71.0,24.0,30.0,41.0,74.0,102.0,58.0,165.0,242.0,48.0,108.0,96.0,100.0,80.0,92.0,68.0,54.0,72.0,0.0,85.0,72.0,139.0,5.0,203.0,107.0,132.0,179.0,202.0,128.0,63.0,194.0,157.0,28.0,14.0,0.0,140.0,19.0,98.0,0.0,167.0,294.0,192.0,623.0,267.0,50.0,132.0,135.0,109.0,139.0,43.0,291.0,323.0,19.0,63.0
AT1G01640,23.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,62.0,56.0,42.0,91.0,56.0,38.0,3.0,0.0,3.0,2.0,10.0,4.0,0.0,11.0,32.0,13.0,0.0,4.0,23.0,5.0,0.0,33.0,0.0,9.0,0.0,6.0,4.0,0.0,21.0,0.0,32.0,50.0,37.0,0.0,0.0,0.0,7.0,12.0,12.0,76.0,5.0,0.0
AT1G01780,74.0,5.0,22.0,12.0,15.0,21.0,14.0,10.0,8.0,10.0,15.0,25.0,13.0,8.0,23.0,18.0,6.0,40.0,39.0,30.0,9.0,3.0,1.0,0.8,13.0,1.0,3.0,27.0,38.0,96.0,271.0,52.0,74.0,147.0,156.0,45.0,978.0,291.0,735.0,33.0,3.0,17.0,36.0,21.0,64.0,43.0,31.0,36.0,35.0,26.0,16.0,9.0,25.0,65.0,18.0,16.0
AT1G01790,13.0,60.0,64.0,51.0,39.0,73.0,55.0,39.0,46.0,0.0,18.0,0.2,49.0,32.0,43.0,21.0,0.6,0.0,0.0,0.5,0.0,0.0,3.0,2.0,26.0,0.0,0.0,15.0,0.1,26.0,27.0,21.0,0.3,30.0,15.0,8.0,0.0,0.0,5.0,17.0,0.0,67.0,0.1,35.0,0.1,0.0,0.1,24.0,29.0,0.1,19.0,14.0,28.0,0.0,44.0,16.0
AT1G01980,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.4,0.0,2.0,0.2,0.1,2.0,0.3,0.0,0.0,0.0,1.0,8.0,84.0,783.0,92.0,46.0,436.0,394.0,11.0,3292.0,637.0,2797.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,15.0,36.0,39.0,16.0,4.0,7.0,0.0,0.9,0.0,0.0
AT1G02065,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.1,50.0,49.0,12.0,9.0,48.0,0.0,20.0,0.3,1.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,30.0,24.0,7.0,3.0,0.0,0.0,0.0,0.0
AT1G02067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,38.0,32.0,12.0,12.0,43.0,3.0,0.4,0.0,1.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,15.0,39.0,38.0,10.0,3.0,0.0,0.0,0.0,4.0
AT1G02190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,101.0,148.0,113.0,236.0,0.0,100.0,0.0,0.0,0.0,3.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,77.0,41.0,25.0,26.0,0.0,0.0,0.0,0.0
