gene_id,symbol,description
AT1G01100,RPP1A,60S acidic ribosomal protein family
AT1G01120,KCS1,3-ketoacyl-CoA synthase 1
AT1G01140,CIPK9,CBL-interacting protein kinase 9
AT1G01240,nan,nan
AT1G01250,ERF023,Integrase-type DNA-binding superfamily protein
AT1G01310,nan,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) supe"
AT1G01370,HTR12,Histone superfamily protein
AT1G01460,PIP5K10,"Phosphatidylinositol-4-phosphate 5-kinase, core"
AT1G01470,LEA14,Late embryogenesis abundant protein
AT1G01490,nan,Heavy metal transport/detoxification superfamily protein 
AT1G01590,FRO1,ferric reduction oxidase 1
AT1G01600,CYP86A4,"cytochrome P450, family 86, subfamily A, polypeptide 4"
AT1G01610,GPAT4,glycerol-3-phosphate acyltransferase 4
AT1G01620,PIP1-3,plasma membrane intrinsic protein 1C
AT1G01640,nan,BTB/POZ domain-containing protein
AT1G01780,PLIM2B,GATA type zinc finger transcription factor family protein
AT1G01790,KEA1,K+ efflux antiporter 1
AT1G01980,SEC1A,FAD-binding Berberine family protein
AT1G02000,GAE2,UDP-D-glucuronate 4-epimerase 2
AT1G02065,SPL8,squamosa promoter binding protein-like 8
AT1G02067,nan,unknown
AT1G02190,nan,Fatty acid hydroxylase superfamily
AT1G02205,CER1,Fatty acid hydroxylase superfamily
AT1G02220,NAC003,NAC domain containing protein 3
AT1G02300,CATHB1,Cysteine proteinases superfamily protein
AT1G02310,MAN1,Glycosyl hydrolase superfamily protein
AT1G02335,GL22,germin-like protein subfamily 2 member 2 precursor
AT1G02360,nan,Chitinase family protein
AT1G02390,GPAT2,glycerol-3-phosphate acyltransferase 2
AT1G02400,GA2OX6,gibberellin 2-oxidase 6
AT1G02470,nan,Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02610,nan,RING/FYVE/PHD zinc finger superfamily protein
AT1G02630,ETN8,Nucleoside transporter family protein
AT1G02640,BXL2,beta-xylosidase 2
AT1G02700,nan,nan
AT1G02780,RPL19A,Ribosomal protein L19e family protein
AT1G02790,PGA3,polygalacturonase 4
AT1G02800,CEL2,cellulase 2
AT1G02810,PME7,Plant invertase/pectin methylesterase inhibitor superfamily
AT1G02850,BGLU11,beta glucosidase 11
AT1G02900,RALF1,rapid alkalinization factor 1
AT1G02920,GSTF7,glutathione S-transferase 7
AT1G02930,GSTF6,glutathione S-transferase 6
AT1G02950,ATGSTF4,glutathione S-transferase F4
AT1G03050,nan,ENTH/ANTH/VHS superfamily protein
AT1G03103,nan,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G03106,nan,nan
AT1G03120,ATRAB28,responsive to abscisic acid 28
AT1G03130,PSAD2,photosystem I subunit D-2
AT1G03170,FAF2,Protein of unknown function (DUF3049)
AT1G03220,nan,Eukaryotic aspartyl protease family protein
AT1G03280,nan,"Transcription factor TFIIE, alpha subunit"
AT1G03310,ISA2,debranching enzyme 1
AT1G03360,RRP4,ribosomal RNA processing 4
AT1G03400,nan,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03600,PSB27-1,photosystem II family protein
AT1G03710,nan,Cystatin/monellin superfamily protein
AT1G03740,nan,Protein kinase superfamily protein
AT1G03790,SOM,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G03820,nan,nan
AT1G03870,FLA9,FASCICLIN-like arabinoogalactan 9
AT1G03880,CRB,cruciferin 2
AT1G03890,CRD,RmlC-like cupins superfamily protein
AT1G04040,nan,"HAD superfamily, subfamily IIIB acid phosphatase "
AT1G04220,KCS2,3-ketoacyl-CoA synthase 2
AT1G04240,SHY2,AUX/IAA transcriptional regulator family protein
AT1G04250,IAA17,AUX/IAA transcriptional regulator family protein
AT1G04270,RPS15A,cytosolic ribosomal protein S15
AT1G04280,nan,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G04300,TRAF1B,TRAF-like superfamily protein
AT1G04380,nan,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G04450,RIC3,ROP-interactive CRIB motif-containing protein 3
AT1G04470,nan,Protein of unknown function (DUF810)
AT1G04480,RPL23A,Ribosomal protein L14p/L23e family protein
AT1G04540,nan,Calcium-dependent lipid-binding (CaLB domain) family protein
AT1G04560,nan,AWPM-19-like family protein
AT1G04580,AAO4,aldehyde oxidase 4
AT1G04645,SPH5,Plant self-incompatibility protein S1 family
AT1G04660,nan,glycine-rich protein
AT1G04680,nan,Pectin lyase-like superfamily protein
AT1G04800,nan,glycine-rich protein
AT1G04820,TUBA4,tubulin alpha-4 chain
AT1G04880,HMGB15,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
AT1G05000,nan,Phosphotyrosine protein phosphatases superfamily protein
AT1G05010,ACO4,ethylene-forming enzyme
AT1G05100,MAPKKK18,mitogen-activated protein kinase kinase kinase 18
AT1G05190,RPL6,Ribosomal protein L6 family
AT1G05210,nan,"Transmembrane protein 97, predicted"
AT1G05250,PER2,Peroxidase superfamily protein
AT1G05260,PER3,Peroxidase superfamily protein
AT1G05340,nan,nan
AT1G05490,CLSY3,chromatin remodeling 31
AT1G05510,OBAP1A,Protein of unknown function (DUF1264)
AT1G05560,UGT1,UDP-glucosyltransferase 75B1
AT1G05575,nan,nan
AT1G05580,CHX23,cation/H+ exchanger 23
AT1G05675,UGT74E1,UDP-Glycosyltransferase superfamily protein
AT1G05680,UGT74E2,Uridine diphosphate glycosyltransferase 74E2
AT1G05760,RTM1,Mannose-binding lectin superfamily protein
AT1G05835,nan,PHD finger protein
AT1G05960,nan,ARM repeat superfamily protein
AT1G06080,ADS1,delta 9 desaturase 1
