term_id,term_name,aspect,gene_id
GO:0005654,nucleoplasm,CC,AT5G65530
GO:0005654,nucleoplasm,CC,AT5G47700
GO:0005654,nucleoplasm,CC,AT5G63870
GO:0005654,nucleoplasm,CC,AT2G40360
GO:0005654,nucleoplasm,CC,AT4G32720
GO:0005654,nucleoplasm,CC,AT5G59950
GO:0005654,nucleoplasm,CC,AT3G63400
GO:0005654,nucleoplasm,CC,AT3G14890
GO:0005654,nucleoplasm,CC,AT4G00810
GO:0005654,nucleoplasm,CC,AT4G01480
GO:0005654,nucleoplasm,CC,AT2G46860
GO:0005654,nucleoplasm,CC,AT2G27040
GO:0005654,nucleoplasm,CC,AT1G01100
GO:0005654,nucleoplasm,CC,AT2G47900
GO:0005654,nucleoplasm,CC,AT3G53020
GO:0005654,nucleoplasm,CC,AT3G25520
GO:0005654,nucleoplasm,CC,AT4G09980
GO:0005654,nucleoplasm,CC,AT5G39740
GO:0005654,nucleoplasm,CC,AT1G13370
GO:0005654,nucleoplasm,CC,AT1G03360
GO:0005654,nucleoplasm,CC,AT2G18230
GO:0003735,structural constituent of ribosome,MF,AT3G56020
GO:0003735,structural constituent of ribosome,MF,ATCG00780
GO:0003735,structural constituent of ribosome,MF,AT2G27710
GO:0003735,structural constituent of ribosome,MF,AT4G29430
GO:0003735,structural constituent of ribosome,MF,AT1G33140
GO:0003735,structural constituent of ribosome,MF,AT2G39460
GO:0003735,structural constituent of ribosome,MF,AT2G47110
GO:0003735,structural constituent of ribosome,MF,AT2G37270
GO:0003735,structural constituent of ribosome,MF,AT5G40950
GO:0003735,structural constituent of ribosome,MF,AT1G64510
GO:0003735,structural constituent of ribosome,MF,AT3G11510
GO:0003735,structural constituent of ribosome,MF,AT1G02780
GO:0003735,structural constituent of ribosome,MF,AT5G52650
GO:0003735,structural constituent of ribosome,MF,AT2G40010
GO:0003735,structural constituent of ribosome,MF,ATCG00810
GO:0003735,structural constituent of ribosome,MF,AT1G36240
GO:0003735,structural constituent of ribosome,MF,AT2G47610
GO:0003735,structural constituent of ribosome,MF,AT3G04400
GO:0003735,structural constituent of ribosome,MF,AT4G31700
GO:0003735,structural constituent of ribosome,MF,AT5G10360
GO:0003735,structural constituent of ribosome,MF,AT3G44010
GO:0003735,structural constituent of ribosome,MF,AT2G04390
GO:0003735,structural constituent of ribosome,MF,AT1G07070
GO:0003735,structural constituent of ribosome,MF,AT2G19740
GO:0003735,structural constituent of ribosome,MF,ATCG00750
GO:0003735,structural constituent of ribosome,MF,AT3G53430
GO:0003735,structural constituent of ribosome,MF,AT3G47370
GO:0003735,structural constituent of ribosome,MF,AT2G31610
GO:0003735,structural constituent of ribosome,MF,AT4G29390
GO:0003735,structural constituent of ribosome,MF,AT3G27830
GO:0003735,structural constituent of ribosome,MF,AT1G18540
GO:0003735,structural constituent of ribosome,MF,AT1G17560
GO:0003735,structural constituent of ribosome,MF,AT3G24830
GO:0003735,structural constituent of ribosome,MF,AT4G27090
GO:0003735,structural constituent of ribosome,MF,AT5G39850
GO:0003735,structural constituent of ribosome,MF,AT1G58684
GO:0003735,structural constituent of ribosome,MF,AT1G52300
GO:0003735,structural constituent of ribosome,MF,AT4G25890
GO:0003735,structural constituent of ribosome,MF,AT1G33120
GO:0003735,structural constituent of ribosome,MF,ATCG00050
GO:0003735,structural constituent of ribosome,MF,AT2G07734
GO:0003735,structural constituent of ribosome,MF,AT1G78630
GO:0003735,structural constituent of ribosome,MF,AT5G62300
GO:0003735,structural constituent of ribosome,MF,AT2G41840
GO:0003735,structural constituent of ribosome,MF,AT1G07320
GO:0003735,structural constituent of ribosome,MF,AT2G47570
GO:0003735,structural constituent of ribosome,MF,AT1G58983
GO:0003735,structural constituent of ribosome,MF,AT2G27530
GO:0003735,structural constituent of ribosome,MF,AT3G15190
GO:0003735,structural constituent of ribosome,MF,AT3G44890
GO:0003735,structural constituent of ribosome,MF,AT2G09990
GO:0003735,structural constituent of ribosome,MF,AT2G36620
GO:0003735,structural constituent of ribosome,MF,AT4G30930
GO:0003735,structural constituent of ribosome,MF,AT4G34555
GO:0003735,structural constituent of ribosome,MF,AT1G56045
GO:0003735,structural constituent of ribosome,MF,AT3G52580
GO:0003735,structural constituent of ribosome,MF,AT1G04480
GO:0003735,structural constituent of ribosome,MF,AT4G14320
GO:0003735,structural constituent of ribosome,MF,AT5G35530
GO:0003735,structural constituent of ribosome,MF,AT4G18730
GO:0003735,structural constituent of ribosome,MF,ATCG00840
GO:0003735,structural constituent of ribosome,MF,AT4G02230
GO:0003735,structural constituent of ribosome,MF,AT3G11120
GO:0003735,structural constituent of ribosome,MF,AT5G56670
GO:0003735,structural constituent of ribosome,MF,AT1G15930
GO:0003735,structural constituent of ribosome,MF,AT3G60770
GO:0003735,structural constituent of ribosome,MF,AT2G34480
GO:0003735,structural constituent of ribosome,MF,AT3G45030
GO:0003735,structural constituent of ribosome,MF,AT5G02960
GO:0003735,structural constituent of ribosome,MF,AT1G69620
GO:0003735,structural constituent of ribosome,MF,ATCG00830
GO:0003735,structural constituent of ribosome,MF,AT5G43640
GO:0003735,structural constituent of ribosome,MF,AT1G72370
GO:0003735,structural constituent of ribosome,MF,AT5G59850
GO:0003735,structural constituent of ribosome,MF,AT4G18100
GO:0003735,structural constituent of ribosome,MF,ATCG00905
GO:0003735,structural constituent of ribosome,MF,AT2G20450
GO:0003735,structural constituent of ribosome,MF,AT5G11750
GO:0003735,structural constituent of ribosome,MF,AT5G56710
GO:0003735,structural constituent of ribosome,MF,AT1G58380
GO:0003735,structural constituent of ribosome,MF,ATCG00330
GO:0003735,structural constituent of ribosome,MF,AT1G07770
GO:0003735,structural constituent of ribosome,MF,AT4G34670
GO:0003735,structural constituent of ribosome,MF,AT5G07090
GO:0003735,structural constituent of ribosome,MF,AT1G15250
GO:0003735,structural constituent of ribosome,MF,AT3G61111
GO:0003735,structural constituent of ribosome,MF,AT3G63490
GO:0003735,structural constituent of ribosome,MF,AT2G37190
GO:0003735,structural constituent of ribosome,MF,AT5G02450
GO:0003735,structural constituent of ribosome,MF,AT5G09500
GO:0003735,structural constituent of ribosome,MF,AT3G28500
GO:0003735,structural constituent of ribosome,MF,AT2G40590
GO:0003735,structural constituent of ribosome,MF,AT1G09690
GO:0003735,structural constituent of ribosome,MF,AT5G28060
GO:0003735,structural constituent of ribosome,MF,AT1G79850
GO:0003735,structural constituent of ribosome,MF,AT3G28900
GO:0003735,structural constituent of ribosome,MF,AT3G60245
GO:0003735,structural constituent of ribosome,MF,AT4G25740
GO:0003735,structural constituent of ribosome,MF,ATCG00160
GO:0003735,structural constituent of ribosome,MF,AT3G25920
GO:0003735,structural constituent of ribosome,MF,AT1G70600
GO:0003735,structural constituent of ribosome,MF,AT2G43030
GO:0003735,structural constituent of ribosome,MF,AT2G25210
GO:0003735,structural constituent of ribosome,MF,AT3G13120
GO:0003735,structural constituent of ribosome,MF,AT1G26910
GO:0003735,structural constituent of ribosome,MF,AT4G09012
GO:0003735,structural constituent of ribosome,MF,AT3G08520
GO:0003735,structural constituent of ribosome,MF,AT5G16130
GO:0003735,structural constituent of ribosome,MF,AT1G74050
GO:0003735,structural constituent of ribosome,MF,AT5G18380
GO:0003735,structural constituent of ribosome,MF,AT3G22230
GO:0003735,structural constituent of ribosome,MF,AT4G17390
GO:0003735,structural constituent of ribosome,MF,AT1G48350
GO:0003735,structural constituent of ribosome,MF,ATCG00380
GO:0003735,structural constituent of ribosome,MF,AT1G74060
GO:0003735,structural constituent of ribosome,MF,AT1G74270
GO:0003735,structural constituent of ribosome,MF,AT1G29965
GO:0003735,structural constituent of ribosome,MF,AT1G14320
GO:0003735,structural constituent of ribosome,MF,AT4G15000
GO:0003735,structural constituent of ribosome,MF,AT4G30800
GO:0003735,structural constituent of ribosome,MF,ATCG01230
GO:0003735,structural constituent of ribosome,MF,AT3G04840
GO:0003735,structural constituent of ribosome,MF,AT1G48830
GO:0003735,structural constituent of ribosome,MF,AT3G16780
GO:0003735,structural constituent of ribosome,MF,AT1G12960
GO:0003735,structural constituent of ribosome,MF,AT3G02190
GO:0003735,structural constituent of ribosome,MF,AT3G02560
GO:0003735,structural constituent of ribosome,MF,AT3G17170
GO:0003735,structural constituent of ribosome,MF,AT3G27840
GO:0003735,structural constituent of ribosome,MF,AT4G33865
GO:0003735,structural constituent of ribosome,MF,AT5G20290
GO:0003735,structural constituent of ribosome,MF,AT1G67430
GO:0003735,structural constituent of ribosome,MF,AT5G47190
GO:0003735,structural constituent of ribosome,MF,AT3G48930
GO:0003735,structural constituent of ribosome,MF,AT3G09680
GO:0003735,structural constituent of ribosome,MF,ATCG00065
GO:0003735,structural constituent of ribosome,MF,ATCG00660
GO:0003735,structural constituent of ribosome,MF,AT1G34030
GO:0003735,structural constituent of ribosome,MF,AT1G75350
GO:0003735,structural constituent of ribosome,MF,AT3G05590
GO:0003735,structural constituent of ribosome,MF,ATCG00770
GO:0003735,structural constituent of ribosome,MF,AT3G16080
GO:0003735,structural constituent of ribosome,MF,AT3G55280
GO:0003735,structural constituent of ribosome,MF,AT3G51190
GO:0003735,structural constituent of ribosome,MF,AT5G15760
GO:0003735,structural constituent of ribosome,MF,AT3G46040
GO:0003735,structural constituent of ribosome,MF,ATMG00210
GO:0003735,structural constituent of ribosome,MF,AT3G09630
GO:0003735,structural constituent of ribosome,MF,AT1G74970
GO:0003735,structural constituent of ribosome,MF,ATMG00290
GO:0003735,structural constituent of ribosome,MF,AT5G46160
GO:0003735,structural constituent of ribosome,MF,AT5G39740
GO:0003735,structural constituent of ribosome,MF,ATCG01120
GO:0003735,structural constituent of ribosome,MF,AT5G45775
GO:0003735,structural constituent of ribosome,MF,ATCG00790
GO:0003735,structural constituent of ribosome,MF,AT2G39590
GO:0003735,structural constituent of ribosome,MF,AT3G09200
GO:0003735,structural constituent of ribosome,MF,AT2G19750
GO:0003735,structural constituent of ribosome,MF,AT1G08360
GO:0003735,structural constituent of ribosome,MF,AT2G01250
GO:0003735,structural constituent of ribosome,MF,AT1G23410
GO:0003735,structural constituent of ribosome,MF,AT1G29070
GO:0003735,structural constituent of ribosome,MF,AT1G41880
GO:0003735,structural constituent of ribosome,MF,AT3G27850
GO:0003735,structural constituent of ribosome,MF,AT3G44590
GO:0003735,structural constituent of ribosome,MF,AT3G55750
GO:0003735,structural constituent of ribosome,MF,AT3G04770
GO:0003735,structural constituent of ribosome,MF,ATCG01300
GO:0003735,structural constituent of ribosome,MF,AT2G33800
GO:0003735,structural constituent of ribosome,MF,AT5G09510
GO:0003735,structural constituent of ribosome,MF,AT3G11250
GO:0003735,structural constituent of ribosome,MF,AT5G48760
GO:0003735,structural constituent of ribosome,MF,AT1G23290
GO:0003735,structural constituent of ribosome,MF,AT5G57290
GO:0003735,structural constituent of ribosome,MF,ATMG00980
GO:0003735,structural constituent of ribosome,MF,ATCG01020
GO:0003735,structural constituent of ribosome,MF,AT2G40205
GO:0003735,structural constituent of ribosome,MF,AT1G68590
GO:0003735,structural constituent of ribosome,MF,ATCG01310
GO:0003735,structural constituent of ribosome,MF,AT4G13170
GO:0003735,structural constituent of ribosome,MF,AT5G64140
GO:0003735,structural constituent of ribosome,MF,AT5G47700
GO:0003735,structural constituent of ribosome,MF,AT2G36170
GO:0003735,structural constituent of ribosome,MF,ATMG00080
GO:0003735,structural constituent of ribosome,MF,AT1G26880
GO:0003735,structural constituent of ribosome,MF,AT4G26230
GO:0003735,structural constituent of ribosome,MF,AT3G18740
GO:0003735,structural constituent of ribosome,MF,AT2G33450
GO:0003735,structural constituent of ribosome,MF,AT5G63070
GO:0003735,structural constituent of ribosome,MF,AT3G53740
GO:0003735,structural constituent of ribosome,MF,AT4G36130
GO:0003735,structural constituent of ribosome,MF,AT3G54210
GO:0003735,structural constituent of ribosome,MF,AT2G40510
GO:0003735,structural constituent of ribosome,MF,AT3G49080
GO:0003735,structural constituent of ribosome,MF,AT5G65220
GO:0003735,structural constituent of ribosome,MF,AT2G44860
GO:0003735,structural constituent of ribosome,MF,AT3G03600
GO:0003735,structural constituent of ribosome,MF,AT3G04920
GO:0003735,structural constituent of ribosome,MF,AT5G40040
GO:0003735,structural constituent of ribosome,MF,AT5G61170
GO:0003735,structural constituent of ribosome,MF,AT2G24090
GO:0003735,structural constituent of ribosome,MF,AT3G13580
GO:0003735,structural constituent of ribosome,MF,AT5G14320
GO:0003735,structural constituent of ribosome,MF,AT1G01100
GO:0003735,structural constituent of ribosome,MF,ATCG00820
GO:0003735,structural constituent of ribosome,MF,AT4G16720
GO:0003735,structural constituent of ribosome,MF,AT3G57490
GO:0003735,structural constituent of ribosome,MF,AT4G31985
GO:0003735,structural constituent of ribosome,MF,AT3G53870
GO:0003735,structural constituent of ribosome,MF,AT2G07696
GO:0003735,structural constituent of ribosome,MF,ATCG00640
GO:0003735,structural constituent of ribosome,MF,AT3G53020
GO:0003735,structural constituent of ribosome,MF,AT2G36160
GO:0003735,structural constituent of ribosome,MF,AT3G10950
GO:0003735,structural constituent of ribosome,MF,AT5G58420
GO:0003735,structural constituent of ribosome,MF,AT5G23740
GO:0003735,structural constituent of ribosome,MF,AT2G07675
GO:0003735,structural constituent of ribosome,MF,AT2G33370
GO:0003735,structural constituent of ribosome,MF,AT3G04230
GO:0003735,structural constituent of ribosome,MF,AT4G09800
GO:0003735,structural constituent of ribosome,MF,AT2G42740
GO:0003735,structural constituent of ribosome,MF,AT3G43980
GO:0003735,structural constituent of ribosome,MF,AT2G45710
GO:0003735,structural constituent of ribosome,MF,AT3G61110
GO:0003735,structural constituent of ribosome,MF,AT1G27400
GO:0003735,structural constituent of ribosome,MF,AT4G10450
GO:0003735,structural constituent of ribosome,MF,AT2G32060
GO:0003735,structural constituent of ribosome,MF,AT3G11940
GO:0003735,structural constituent of ribosome,MF,AT1G59359
GO:0003735,structural constituent of ribosome,MF,AT2G37600
GO:0003735,structural constituent of ribosome,MF,AT2G19720
GO:0003735,structural constituent of ribosome,MF,AT3G02080
GO:0003735,structural constituent of ribosome,MF,AT3G62870
GO:0003735,structural constituent of ribosome,MF,AT5G15200
GO:0003735,structural constituent of ribosome,MF,ATCG00900
GO:0003735,structural constituent of ribosome,MF,AT1G35680
GO:0003735,structural constituent of ribosome,MF,AT1G80750
GO:0003735,structural constituent of ribosome,MF,AT3G22300
GO:0003735,structural constituent of ribosome,MF,ATMG01270
GO:0003735,structural constituent of ribosome,MF,AT1G77940
GO:0003735,structural constituent of ribosome,MF,AT1G77750
GO:0003735,structural constituent of ribosome,MF,AT5G46430
GO:0003735,structural constituent of ribosome,MF,AT5G23900
GO:0003735,structural constituent of ribosome,MF,AT1G48630
GO:0003735,structural constituent of ribosome,MF,AT5G09490
GO:0003735,structural constituent of ribosome,MF,AT3G17465
GO:0003735,structural constituent of ribosome,MF,AT2G17360
GO:0003735,structural constituent of ribosome,MF,AT3G14600
GO:0003735,structural constituent of ribosome,MF,AT3G07110
GO:0003735,structural constituent of ribosome,MF,AT5G02870
GO:0003735,structural constituent of ribosome,MF,AT5G17870
GO:0003735,structural constituent of ribosome,MF,AT1G43170
GO:0003735,structural constituent of ribosome,MF,AT1G05190
GO:0003735,structural constituent of ribosome,MF,AT5G15520
GO:0003735,structural constituent of ribosome,MF,AT4G34620
GO:0003735,structural constituent of ribosome,MF,AT2G44065
GO:0003735,structural constituent of ribosome,MF,AT3G49010
GO:0003735,structural constituent of ribosome,MF,AT4G00810
