source,target
AT5G24470,AT1G68050
AT5G24470,AT3G04910
AT5G24470,AT5G58350
AT5G24470,AT2G46830
AT2G47190,AT1G32640
AT5G65310,AT2G46680
AT5G65310,AT3G61890
AT5G65310,AT4G40060
AT4G18960,AT3G12145
AT4G18960,AT5G24780
AT3G12145,AT4G18960
AT2G39730,AT1G55490
AT1G52890,AT1G69600
AT3G15500,AT1G69600
AT4G27410,AT1G69600
AT3G15540,AT1G19850
AT3G15540,AT5G20730
AT1G19850,AT5G20730
AT5G63870,AT5G63310
AT3G48100,AT5G46430
AT3G48100,AT4G34670
AT5G62920,AT5G63460
AT1G70700,AT1G32640
AT1G03130,AT1G52220
AT5G17450,AT1G69600
AT2G38170,AT3G51860
AT3G63140,AT1G09340
AT5G17420,AT5G44030
AT5G17420,AT4G18780
AT5G05410,AT1G06770
AT1G06770,AT5G05410
AT5G20730,AT1G19850
AT3G54340,AT5G20240
AT5G15800,AT5G20240
AT1G21250,AT1G06680
AT1G06680,AT1G21250
AT2G36270,AT3G24650
AT4G17615,AT1G01140
AT1G69120,AT1G24260
AT4G18960,AT1G24260
AT3G54340,AT1G69120
AT5G20240,AT1G69120
AT4G18960,AT1G69120
AT5G20240,AT3G54340
AT4G18960,AT3G54340
AT1G69120,AT5G20240
AT4G18960,AT5G20240
AT1G69120,AT4G18960
AT3G54340,AT4G18960
AT5G20240,AT4G18960
AT2G26980,AT4G17615
AT3G54610,AT3G07740
AT4G25490,AT3G07740
AT4G25490,AT3G54610
AT3G51300,AT1G05560
AT1G05560,AT3G51300
AT1G21250,AT2G05520
AT1G21240,AT2G05520
AT2G05520,AT1G21250
AT1G69120,AT2G45660
AT1G69120,AT4G24540
AT2G46270,AT2G20570
AT5G42940,AT1G52890
AT4G22200,AT2G26650
AT2G26650,AT4G22200
AT1G76540,AT4G34160
AT1G76540,AT1G70210
AT3G54180,AT1G70210
AT2G42830,AT1G24260
AT4G09960,AT1G24260
AT1G61520,AT3G61470
AT1G61520,AT4G02770
AT1G61520,AT1G31330
AT1G61520,AT4G28750
AT1G61520,AT3G16140
AT1G61520,AT3G47470
AT4G09820,AT1G66390
AT4G09820,AT1G56650
AT1G56650,AT4G09820
AT1G66390,AT4G09820
AT3G51300,AT1G04450
AT1G68050,AT3G47500
AT4G18960,AT5G15800
AT4G18960,AT3G02310
AT4G18960,AT2G45650
AT2G05620,AT4G22890
AT2G05620,AT1G60950
AT4G22890,AT1G20020
AT4G22890,AT2G05620
AT4G22890,AT5G66190
AT4G22890,AT1G60950
AT4G22890,AT4G02770
AT1G60950,AT2G05620
AT1G60950,AT4G22890
AT3G26650,AT3G62410
AT3G26650,AT1G32060
AT5G28770,AT4G34590
AT5G28770,AT1G75390
AT5G24800,AT4G34590
AT5G24800,AT1G75390
AT4G34590,AT5G28770
AT1G75390,AT5G28770
AT1G13600,AT4G34590
AT1G13600,AT1G75390
AT5G28770,AT5G24800
